0.5572 <- ,  --- 10:33:53
0.5731 <- ,  --- 10:33:53
0.573 <- ,  --- 10:33:53
0.5883 <- ,  --- 10:33:53
0.5942 <- ,  --- 10:33:53
0.6065 <- ,  --- 10:33:53
0.6041 <- ,  --- 10:33:53
0.615 <- ,  --- 10:33:53
0.6151 <- ,  --- 10:33:53
0.6303 <- ,  --- 10:33:53
0.629 <- ,  --- 10:33:53
0.642 <- ,  --- 10:33:53
0.6414 <- ,  --- 10:33:53
0.6527 <- ,  --- 10:33:53
0.6536 <- ,  --- 10:33:53
0.6685 <- ,  --- 10:33:53
0.5809 <- ,  --- 10:35:42
0.5916 <- ,  --- 10:35:42
0.5994 <- ,  --- 10:35:42
0.608 <- ,  --- 10:35:42
0.6161 <- ,  --- 10:35:42
0.6261 <- ,  --- 10:35:42
0.6353 <- ,  --- 10:35:42
0.6434 <- ,  --- 10:35:42
0.6518 <- ,  --- 10:35:42
0.6598 <- ,  --- 10:35:42
0.6666 <- ,  --- 10:35:42
0.6737 <- ,  --- 10:35:42
0.6809 <- ,  --- 10:35:42
0.6867 <- ,  --- 10:35:42
0.8444 <- ,  --- 10:35:42
0.8903 <- ,  --- 10:35:42
0.8615 <- ,  --- 10:35:42
0.8598 <- ,  --- 10:35:42
0.6772 <- ,  --- 10:35:42
0.7445 <- ,  --- 10:35:42
0.9205 <- ,  --- 10:35:42
0.8733 <- ,  --- 10:35:42
0.6005 <- ,  --- 10:35:42
0.6859 <- ,  --- 10:35:42
0.8907 <- ,  --- 10:35:42
0.7103 <- ,  --- 10:35:42
0.7784 <- ,  --- 10:35:42
0.6252 <- ,  --- 10:35:42
0.7264 <- ,  --- 10:35:42
0.6411 <- ,  --- 10:35:42
0.7904 <- ,  --- 10:35:42
0.7403 <- ,  --- 10:35:42
0.6557 <- ,  --- 10:35:42
0.9808 <- ,  --- 10:35:42
0.8168 <- ,  --- 10:35:42
0.9325 <- ,  --- 10:35:42
0.6641 <- ,  --- 10:35:42
0.7559 <- ,  --- 10:35:42
0.8307 <- ,  --- 10:35:42
1.0028 <- ,  --- 10:35:42
0.6788 <- ,  --- 10:35:42
0.6885 <- ,  --- 10:35:42
1.0213 <- ,  --- 10:35:42
0.6981 <- ,  --- 10:35:42
0.7807 <- ,  --- 10:35:42
0.9966 <- ,  --- 10:35:42
1.0369 <- ,  --- 10:35:42
0.8638 <- ,  --- 10:35:42
0.8034 <- ,  --- 10:35:42
1.0495 <- ,  --- 10:35:42
0.7248 <- ,  --- 10:35:42
1.0028 <- ,  --- 10:35:42
1.0778 <- ,  --- 10:35:42
0.9056 <- ,  --- 10:35:42
0.7634 <- ,  --- 10:35:42
1.0345 <- ,  --- 10:35:42
1.0968 <- ,  --- 10:35:42
0.8603 <- ,  --- 10:35:42
1.0541 <- ,  --- 10:35:42
0.9419 <- ,  --- 10:35:42
1.1151 <- ,  --- 10:35:42
0.8748 <- ,  --- 10:35:42
1.068 <- ,  --- 10:35:42
0.9585 <- ,  --- 10:35:42
1.1312 <- ,  --- 10:35:42
0.8891 <- ,  --- 10:35:42
1.0859 <- ,  --- 10:35:42
0.9783 <- ,  --- 10:35:42
1.1039 <- ,  --- 10:35:42
0.9268 <- ,  --- 10:35:42
1.1671 <- ,  --- 10:35:42
1.028 <- ,  --- 10:35:42
1.1821 <- ,  --- 10:35:42
1.2352 <- ,  --- 10:35:42
1.0833 <- ,  --- 10:35:42
1.4119 <- ,  --- 10:35:42
1.3235 <- ,  --- 10:35:43
1.3926 <- ,  --- 10:35:43
1.5829 <- ,  --- 10:35:43
0.6354 <- ,  --- 10:35:43
0.6502 <- ,  --- 10:35:43
0.6707 <- ,  --- 10:35:43
0.6855 <- ,  --- 10:35:43
0.6987 <- ,  --- 10:35:43
0.7098 <- ,  --- 10:35:43
0.7228 <- ,  --- 10:35:44
0.7351 <- ,  --- 10:35:44
0.7466 <- ,  --- 10:35:44
0.758 <- ,  --- 10:35:44
0.772 <- ,  --- 10:35:44
0.7856 <- ,  --- 10:35:44
0.7969 <- ,  --- 10:35:44
0.8094 <- ,  --- 10:35:44
0.9013 <- ,  --- 10:35:44
0.794 <- ,  --- 10:35:44
0.8346 <- ,  --- 10:35:44
0.7073 <- ,  --- 10:35:44
0.8589 <- ,  --- 10:35:44
0.7463 <- ,  --- 10:35:44
0.8907 <- ,  --- 10:35:44
0.7788 <- ,  --- 10:35:44
0.9272 <- ,  --- 10:35:44
0.8207 <- ,  --- 10:35:44
0.961 <- ,  --- 10:35:44
0.845 <- ,  --- 10:35:44
0.9901 <- ,  --- 10:35:44
0.8722 <- ,  --- 10:35:44
1.0087 <- ,  --- 10:35:44
0.8911 <- ,  --- 10:35:44
1.0272 <- ,  --- 10:35:44
0.9091 <- ,  --- 10:35:44
1.0433 <- ,  --- 10:35:44
1.2456 <- ,  --- 10:35:44
1.114 <- ,  --- 10:35:44
0.7888 <- ,  --- 10:35:44
0.9526 <- ,  --- 10:35:44
1.1369 <- ,  --- 10:35:44
1.0319 <- ,  --- 10:35:44
1.1683 <- ,  --- 10:35:44
0.7487 <- ,  --- 10:35:44
1.0446 <- ,  --- 10:35:44
1.1796 <- ,  --- 10:35:44
